date,Open,High,Low,Close,Volume
2020-05-08 15:51:00,0.7795,0.7877,0.779,0.7802,228093.0
2020-05-08 15:52:00,0.78,0.79,0.779,0.7898,333188.0
2020-05-08 15:53:00,0.7899,0.794,0.7888,0.792,261747.0
2020-05-08 15:54:00,0.7939,0.81,0.79,0.808,744406.0
2020-05-08 15:55:00,0.8053,0.8166,0.7792,0.7902,482555.0
2020-05-08 15:56:00,0.7903,0.7973,0.7599,0.7742,585198.0
2020-05-08 15:57:00,0.7731,0.7948,0.7666,0.7701,260358.0
2020-05-08 15:58:00,0.7702,0.7775,0.759,0.7691,363429.0
2020-05-08 15:59:00,0.7652,0.77,0.7649,0.7687,320269.0
2020-05-08 16:00:00,0.77,0.77,0.76,0.76,481463.0
2020-05-11 09:31:00,0.83,0.835,0.8101,0.8102,3013055.0
2020-05-11 09:32:00,0.8101,0.8271,0.8069,0.8091,434802.0
2020-05-11 09:33:00,0.8094,0.833,0.8078,0.82,206471.0
2020-05-11 09:34:00,0.8199,0.8278,0.8077,0.8158,183175.0
2020-05-11 09:35:00,0.8122,0.8222,0.81,0.8211,173088.0
2020-05-11 09:36:00,0.8211,0.8211,0.788,0.7881,410058.0
2020-05-11 09:37:00,0.79,0.81,0.77,0.78,560375.0
2020-05-11 09:38:00,0.7978,0.8178,0.7877,0.8092,144729.0
2020-05-11 09:39:00,0.8057,0.81,0.8,0.8,164062.0
2020-05-11 09:40:00,0.8009,0.81,0.8,0.8062,115120.0
2020-05-11 09:41:00,0.8035,0.809,0.8,0.8,77564.0
2020-05-11 09:42:00,0.8,0.804,0.79,0.797,105031.0
2020-05-11 09:43:00,0.7935,0.797,0.7811,0.784,111891.0
2020-05-11 09:44:00,0.784,0.7889,0.7826,0.7888,73717.0
2020-05-11 09:45:00,0.7889,0.793,0.786,0.793,60628.0
2020-05-11 09:46:00,0.7929,0.793,0.79,0.7928,46948.0
2020-05-11 09:47:00,0.7919,0.8005,0.7881,0.7881,77858.0
2020-05-11 09:48:00,0.7879,0.788,0.78,0.7843,99512.0
2020-05-11 09:49:00,0.7842,0.788,0.78,0.7865,60766.0
2020-05-11 09:50:00,0.7852,0.79,0.781,0.7885,77638.0
2020-05-11 09:51:00,0.7875,0.79,0.785,0.79,104131.0
2020-05-11 09:52:00,0.79,0.79,0.7851,0.7863,75176.0
2020-05-11 09:53:00,0.7875,0.7876,0.78,0.7801,156117.0
2020-05-11 09:54:00,0.7801,0.7801,0.78,0.78,99373.0
2020-05-11 09:55:00,0.78,0.7801,0.77,0.7711,213066.0
2020-05-11 09:56:00,0.7711,0.775,0.771,0.7729,98846.0
2020-05-11 09:57:00,0.7729,0.78,0.77,0.7742,139558.0
2020-05-11 09:58:00,0.7733,0.774,0.77,0.7702,70070.0
2020-05-11 09:59:00,0.7705,0.775,0.77,0.7749,57765.0
2020-05-11 10:00:00,0.77,0.78,0.77,0.78,92363.0
2020-05-11 10:01:00,0.7839,0.798,0.7825,0.7955,160965.0
2020-05-11 10:02:00,0.7939,0.8046,0.793,0.8046,163052.0
2020-05-11 10:03:00,0.8045,0.8046,0.801,0.8013,139124.0
2020-05-11 10:04:00,0.8015,0.8124,0.7977,0.7983,120405.0
2020-05-11 10:05:00,0.7973,0.798,0.78,0.7803,81095.0
2020-05-11 10:06:00,0.7801,0.7973,0.7801,0.7896,58297.0
2020-05-11 10:07:00,0.79,0.7939,0.785,0.7901,108895.0
2020-05-11 10:08:00,0.7939,0.7973,0.7901,0.7939,23691.0
2020-05-11 10:09:00,0.7971,0.7972,0.7941,0.797,69794.0
2020-05-11 10:10:00,0.797,0.797,0.7901,0.794,33898.0
